n,k_cap_mean,k_cap_sd,radius,simulation_rounds,population_density,replicate,network_density,network_is_connected,network_num_components,network_largest_component_size,network_avg_shortest_path,network_diameter,network_clustering_coef,network_modularity,network_assortativity
1000,50,25.0,1.0,100000,1e-05,0,0.04155355355355355,True,1,1000,2.3125485485485484,4,0.16969420601448798,0.3911801714149085,0.06915877905057186
1000,50,25.0,1.0,100000,1e-05,1,0.042182182182182185,True,1,1000,2.298830830830831,4,0.16890225354727614,0.3576766823990995,0.05215158402557219
1000,50,25.0,1.0,100000,1e-05,2,0.042416416416416414,True,1,1000,2.3033713713713713,4,0.1750487638880923,0.3892805895615582,0.07525372023600527
1000,50,25.0,1.0,100000,1e-05,3,0.04211211211211211,True,1,1000,2.305005005005005,4,0.17179809235830687,0.383635219442801,0.056770496768478305
1000,50,25.0,1.0,100000,1e-05,4,0.04227427427427428,True,1,1000,2.307091091091091,4,0.17289859016290796,0.38843908490255846,0.0688648941534758
1000,50,25.0,1.0,100000,1e-05,5,0.04277877877877878,True,1,1000,2.2936296296296295,4,0.1698653446449321,0.38720768329630295,0.0673010428979907
1000,50,25.0,1.0,100000,1e-05,6,0.04329129129129129,True,1,1000,2.286816816816817,4,0.17251415297001263,0.39626684731438694,0.07203667578165736
1000,50,25.0,1.0,100000,1e-05,7,0.04164764764764765,True,1,1000,2.3084164164164163,4,0.1692336955905293,0.3704563198436959,0.06588332910101226
1000,50,25.0,1.0,100000,1e-05,8,0.042068068068068065,True,1,1000,2.3018398398398396,4,0.1713888505258949,0.387653419998306,0.05414749540807507
1000,50,25.0,1.0,100000,1e-05,9,0.04219219219219219,True,1,1000,2.310758758758759,4,0.17639492330441325,0.38402501037783776,0.060629717525567006
1000,50,25.0,1.0,100000,1e-05,10,0.04194394394394394,True,1,1000,2.3025185185185184,4,0.16412697651669922,0.37415652785601883,0.0684734953751121
1000,50,25.0,1.0,100000,1e-05,11,0.04236036036036036,True,1,1000,2.3058398398398396,4,0.16993881010419704,0.37029918594677447,0.06511362007672035
1000,50,25.0,1.0,100000,1e-05,12,0.04236636636636636,True,1,1000,2.298950950950951,4,0.169913655906228,0.3688084373774452,0.04741065246986964
1000,50,25.0,1.0,100000,1e-05,13,0.04226226226226226,True,1,1000,2.3093033033033032,4,0.17240736986660152,0.33758606370591354,0.07635441334657485
1000,50,25.0,1.0,100000,1e-05,14,0.041487487487487484,True,1,1000,2.31590990990991,4,0.16659646761327673,0.38188972224978573,0.07368312773305004
1000,50,25.0,1.0,100000,1e-05,15,0.04231831831831832,True,1,1000,2.3066546546546545,4,0.1704800878588927,0.3791762593383046,0.06982934721262132
1000,50,25.0,1.0,100000,1e-05,16,0.04236436436436437,True,1,1000,2.297063063063063,4,0.1721581786331591,0.38039880602317544,0.0581513373155064
1000,50,25.0,1.0,100000,1e-05,17,0.04264064064064064,True,1,1000,2.3008348348348346,4,0.1734725830761227,0.38687685438762165,0.04744866258363121
1000,50,25.0,1.0,100000,1e-05,18,0.04075675675675676,True,1,1000,2.3265225225225223,4,0.1710381201051166,0.3878152455755601,0.074477287530535
1000,50,25.0,1.0,100000,1e-05,19,0.04217017017017017,True,1,1000,2.305265265265265,4,0.16967205101476965,0.38167965471262305,0.06486778682937402
1000,50,25.0,1.0,100000,1e-05,20,0.04228028028028028,True,1,1000,2.3038658658658657,4,0.17273824314727423,0.36174655784778026,0.07035742122491678
1000,50,25.0,1.0,100000,1e-05,21,0.040866866866866865,True,1,1000,2.326314314314314,4,0.17236122653207006,0.3896200912096957,0.045089638905972486
1000,50,25.0,1.0,100000,1e-05,22,0.04229029029029029,True,1,1000,2.3061261261261263,4,0.17399339912925255,0.3812983219866097,0.053498779803962164
1000,50,25.0,1.0,100000,1e-05,23,0.04284084084084084,True,1,1000,2.2966346346346347,4,0.17462916488538135,0.33739688673542534,0.06610924846134338
1000,50,25.0,1.0,100000,1e-05,24,0.04140940940940941,True,1,1000,2.3234594594594595,4,0.17616104853927747,0.38896425785795496,0.05997823408483818
1000,50,25.0,1.0,100000,1e-05,25,0.04164764764764765,True,1,1000,2.3097777777777777,4,0.16950937192998555,0.35282619178954544,0.05762234545453941
1000,50,25.0,1.0,100000,1e-05,26,0.04211211211211211,True,1,1000,2.306214214214214,4,0.17021462512358643,0.3685468597421222,0.043340362464331504
1000,50,25.0,1.0,100000,1e-05,27,0.04294494494494495,True,1,1000,2.291831831831832,4,0.17078730548196458,0.38566202360023155,0.06733718751541684
1000,50,25.0,1.0,100000,1e-05,28,0.0433933933933934,True,1,1000,2.29218018018018,4,0.17695534120733925,0.3805774920213014,0.0515971816509765
1000,50,25.0,1.0,100000,1e-05,29,0.04245245245245245,True,1,1000,2.3029209209209207,4,0.1728062414055486,0.3968353895437255,0.04446294174893494
1000,50,25.0,1.0,100000,1e-05,30,0.042612612612612615,True,1,1000,2.299681681681682,4,0.16902025999569292,0.3536820874946316,0.0535197033845036
1000,50,25.0,1.0,100000,1e-05,31,0.0419019019019019,True,1,1000,2.3122902902902904,4,0.17487821540907006,0.3591493417984413,0.045002903392820336
1000,50,25.0,1.0,100000,1e-05,32,0.0425025025025025,True,1,1000,2.304418418418418,4,0.17398950135702415,0.4005924758310667,0.0642167173688135
1000,50,25.0,1.0,100000,1e-05,33,0.04381581581581582,True,1,1000,2.2784704704704706,4,0.17006976809665203,0.37836061397762916,0.06477567852768448
1000,50,25.0,1.0,100000,1e-05,34,0.042282282282282285,True,1,1000,2.306136136136136,4,0.17390146990571384,0.3446541845568612,0.058215605799619624
1000,50,25.0,1.0,100000,1e-05,35,0.04238838838838839,True,1,1000,2.297905905905906,4,0.16914809419465293,0.34391340636064527,0.0538908368291908
1000,50,25.0,1.0,100000,1e-05,36,0.042,True,1,1000,2.3063283283283282,4,0.17101549408954733,0.38271152219227283,0.05356582846891542
1000,50,25.0,1.0,100000,1e-05,37,0.04172572572572573,True,1,1000,2.3175155155155154,4,0.1737181162080098,0.3735166796272476,0.07833422514512793
1000,50,25.0,1.0,100000,1e-05,38,0.04247447447447447,True,1,1000,2.2974194194194193,4,0.16766755994464433,0.3702993183646225,0.07348009412077884
1000,50,25.0,1.0,100000,1e-05,39,0.042816816816816816,True,1,1000,2.2954874874874873,4,0.17400290847467176,0.373651264119776,0.05896704765325216
1000,50,25.0,1.0,100000,1e-05,40,0.04154554554554554,True,1,1000,2.314854854854855,4,0.17031197344275922,0.38086688233484955,0.056451142119173764
1000,50,25.0,1.0,100000,1e-05,41,0.042232232232232235,True,1,1000,2.3057817817817816,4,0.17126359694835405,0.38015255539043036,0.05163914808171153
1000,50,25.0,1.0,100000,1e-05,42,0.04224224224224224,True,1,1000,2.300786786786787,4,0.1726514492760315,0.38375992452999713,0.0523601171705682
1000,50,25.0,1.0,100000,1e-05,43,0.04186186186186186,True,1,1000,2.311817817817818,4,0.17859915287350178,0.3952665107754968,0.06131487944757441
1000,50,25.0,1.0,100000,1e-05,44,0.04176976976976977,True,1,1000,2.3126366366366367,4,0.17253115460043386,0.3700738858259538,0.0522225895921682
1000,50,25.0,1.0,100000,1e-05,45,0.04186186186186186,True,1,1000,2.301133133133133,4,0.1674719732803391,0.37775639077177336,0.07029967481001795
1000,50,25.0,1.0,100000,1e-05,46,0.041777777777777775,True,1,1000,2.3135635635635636,4,0.1729707850700471,0.384662342793162,0.06827159784730652
1000,50,25.0,1.0,100000,1e-05,47,0.04204004004004004,True,1,1000,2.308248248248248,4,0.17515244134718846,0.3940372350789934,0.055729449030871396
1000,50,25.0,1.0,100000,1e-05,48,0.0416996996996997,True,1,1000,2.3129089089089088,4,0.1729490067667583,0.38151931568927505,0.062462001130473274
1000,50,25.0,1.0,100000,1e-05,49,0.042612612612612615,True,1,1000,2.3001201201201202,4,0.17149176161592994,0.35706878179172785,0.06002686531425095
1000,50,25.0,1.0,100000,3.1622776601683795e-05,0,0.0405025025025025,True,1,1000,2.328074074074074,4,0.1671801039537496,0.40249494176378786,0.06479706616033637
1000,50,25.0,1.0,100000,3.1622776601683795e-05,1,0.041985985985985984,True,1,1000,2.305807807807808,4,0.16944350039160372,0.38196214404325163,0.057460394910680945
1000,50,25.0,1.0,100000,3.1622776601683795e-05,2,0.04222422422422423,True,1,1000,2.3118658658658657,4,0.17987151847609212,0.34867459146739155,0.061868207970378536
1000,50,25.0,1.0,100000,3.1622776601683795e-05,3,0.04296696696696697,True,1,1000,2.2958238238238238,4,0.17267784129667751,0.38564324216084184,0.06083534584073862
1000,50,25.0,1.0,100000,3.1622776601683795e-05,4,0.041615615615615616,True,1,1000,2.309691691691692,4,0.171637736732628,0.3579615248176861,0.05031183539428699
1000,50,25.0,1.0,100000,3.1622776601683795e-05,5,0.04148948948948949,True,1,1000,2.3103763763763765,4,0.1647143802215425,0.3872248834611314,0.08286827311988006
1000,50,25.0,1.0,100000,3.1622776601683795e-05,6,0.04304104104104104,True,1,1000,2.2964644644644645,4,0.17452953146920322,0.3807526695165745,0.05220307752587157
1000,50,25.0,1.0,100000,3.1622776601683795e-05,7,0.04234834834834835,True,1,1000,2.3035075075075073,4,0.17350596830058496,0.37653594151914493,0.06669865487375395
1000,50,25.0,1.0,100000,3.1622776601683795e-05,8,0.04216216216216216,True,1,1000,2.3034534534534536,4,0.17235554634520547,0.361944673293597,0.03975133061325241
1000,50,25.0,1.0,100000,3.1622776601683795e-05,9,0.041537537537537535,True,1,1000,2.3142402402402404,4,0.16883285911846724,0.3571514951847742,0.07888194438208214
1000,50,25.0,1.0,100000,3.1622776601683795e-05,10,0.041045045045045046,True,1,1000,2.3176296296296295,4,0.16718030906119977,0.3923533823991189,0.05392091649781654
1000,50,25.0,1.0,100000,3.1622776601683795e-05,11,0.04235635635635636,True,1,1000,2.30629029029029,4,0.17277211526278954,0.3754890303956036,0.06910974566017766
1000,50,25.0,1.0,100000,3.1622776601683795e-05,12,0.04184984984984985,True,1,1000,2.304046046046046,4,0.16329509179753748,0.36948500765769904,0.06360169481730377
1000,50,25.0,1.0,100000,3.1622776601683795e-05,13,0.041325325325325325,True,1,1000,2.3132192192192194,4,0.16954579711213397,0.3776678899450495,0.04916853673473384
1000,50,25.0,1.0,100000,3.1622776601683795e-05,14,0.0421021021021021,True,1,1000,2.3027687687687686,4,0.17220860694960838,0.3723505887588073,0.04588091733454888
1000,50,25.0,1.0,100000,3.1622776601683795e-05,15,0.04178978978978979,True,1,1000,2.3114714714714713,4,0.17090694865107953,0.37661266466839194,0.07025301324822902
1000,50,25.0,1.0,100000,3.1622776601683795e-05,16,0.0419019019019019,True,1,1000,2.3136496496496495,4,0.17818423621218146,0.3873423994937737,0.05780246879880803
1000,50,25.0,1.0,100000,3.1622776601683795e-05,17,0.04195195195195195,True,1,1000,2.3092632632632633,4,0.17147764802269602,0.38435821815628934,0.06067676941754512
1000,50,25.0,1.0,100000,3.1622776601683795e-05,18,0.04204004004004004,True,1,1000,2.308228228228228,4,0.1696631918078805,0.3711981472811512,0.06522860063516754
1000,50,25.0,1.0,100000,3.1622776601683795e-05,19,0.04137337337337337,True,1,1000,2.3225265265265267,5,0.1711443355850703,0.3891995258651448,0.08214481929040547
1000,50,25.0,1.0,100000,3.1622776601683795e-05,20,0.04188188188188188,True,1,1000,2.3053793793793793,4,0.16760836992439226,0.380193125089113,0.04777542535170901
1000,50,25.0,1.0,100000,3.1622776601683795e-05,21,0.04105105105105105,True,1,1000,2.3246846846846845,4,0.17076853301877143,0.3928975399925355,0.06170602398889859
1000,50,25.0,1.0,100000,3.1622776601683795e-05,22,0.04206206206206206,True,1,1000,2.3042302302302304,4,0.17096119237281046,0.4082720485542004,0.06065784343551863
1000,50,25.0,1.0,100000,3.1622776601683795e-05,23,0.04242442442442442,True,1,1000,2.299181181181181,4,0.16942252614360903,0.3659793143958014,0.06772142535157
1000,50,25.0,1.0,100000,3.1622776601683795e-05,24,0.04083683683683684,True,1,1000,2.3176876876876875,4,0.1659731197437258,0.3619365125713182,0.06731880527007186
1000,50,25.0,1.0,100000,3.1622776601683795e-05,25,0.04215215215215215,True,1,1000,2.304036036036036,4,0.17154175718549858,0.3862984276178215,0.061850917510977654
1000,50,25.0,1.0,100000,3.1622776601683795e-05,26,0.041605605605605604,True,1,1000,2.314066066066066,4,0.17044796458180062,0.38567724589103075,0.06244268199720643
1000,50,25.0,1.0,100000,3.1622776601683795e-05,27,0.04191591591591592,True,1,1000,2.3037077077077077,4,0.16823294383362652,0.39084419268308085,0.05211945804626456
1000,50,25.0,1.0,100000,3.1622776601683795e-05,28,0.04275475475475476,True,1,1000,2.291831831831832,4,0.16957484270487358,0.3556313914621971,0.05266299052537907
1000,50,25.0,1.0,100000,3.1622776601683795e-05,29,0.04095495495495496,True,1,1000,2.32631031031031,4,0.17543247205236454,0.39757214415048847,0.04277191824986125
1000,50,25.0,1.0,100000,3.1622776601683795e-05,30,0.04143943943943944,True,1,1000,2.3123963963963963,4,0.16762322220507608,0.3888558700183502,0.06575514009564576
1000,50,25.0,1.0,100000,3.1622776601683795e-05,31,0.042626626626626626,True,1,1000,2.2975715715715714,4,0.17441846329652425,0.372306329585218,0.05075344651008252
1000,50,25.0,1.0,100000,3.1622776601683795e-05,32,0.04253053053053053,True,1,1000,2.300804804804805,4,0.17087704561950282,0.38306677422731983,0.08657646485001758
1000,50,25.0,1.0,100000,3.1622776601683795e-05,33,0.041633633633633635,True,1,1000,2.3116356356356356,4,0.17048847890669053,0.3914416446158417,0.050639624022022614
1000,50,25.0,1.0,100000,3.1622776601683795e-05,34,0.042196196196196196,True,1,1000,2.305309309309309,4,0.1674107895537433,0.3904043236059494,0.057182297841200644
1000,50,25.0,1.0,100000,3.1622776601683795e-05,35,0.041723723723723724,True,1,1000,2.3214714714714715,4,0.1779458177396186,0.3526952998239212,0.07912620338360979
1000,50,25.0,1.0,100000,3.1622776601683795e-05,36,0.04194994994994995,True,1,1000,2.3008508508508507,4,0.1676448084080788,0.39083447551233486,0.048413826029930225
1000,50,25.0,1.0,100000,3.1622776601683795e-05,37,0.04116916916916917,True,1,1000,2.3177817817817816,4,0.16703573059713211,0.3766384520895119,0.06865539394551017
1000,50,25.0,1.0,100000,3.1622776601683795e-05,38,0.04234034034034034,True,1,1000,2.2985265265265267,4,0.16825768019064374,0.3654413567480936,0.07194660018189622
1000,50,25.0,1.0,100000,3.1622776601683795e-05,39,0.04201601601601602,True,1,1000,2.3088688688688688,4,0.17404877493639379,0.36850190762980384,0.06842314987827004
1000,50,25.0,1.0,100000,3.1622776601683795e-05,40,0.04308308308308308,True,1,1000,2.289987987987988,4,0.17213312108133974,0.38811710663375304,0.07806562979064714
1000,50,25.0,1.0,100000,3.1622776601683795e-05,41,0.042866866866866866,True,1,1000,2.2995935935935936,4,0.17341714163930746,0.3794250658332138,0.07584516919157112
1000,50,25.0,1.0,100000,3.1622776601683795e-05,42,0.041723723723723724,True,1,1000,2.307991991991992,4,0.17014143054486658,0.3546209686069152,0.057387188951864156
1000,50,25.0,1.0,100000,3.1622776601683795e-05,43,0.04262862862862863,True,1,1000,2.302008008008008,4,0.17318679469935808,0.38341967303430724,0.0592213936514263
